bloco,cor_hex,inicio_2026,fim_2026,duracao_dias,observacao
BB,FFFFFF00,2026-09-21,2026-09-21,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-09-22,2026-09-28,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFBF9000,2026-10-07,2026-10-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFFFF,2026-11-08,2026-11-08,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFF2CC,2026-11-09,2026-11-22,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFCE5CD,2026-11-23,2026-12-06,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-12-07,2026-12-10,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-12-11,2026-12-13,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-12-14,2026-12-14,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-12-15,2026-12-21,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
